Entidad,Entidad-N,municipio,Municipio,Localidad,Ubicación,Tipo,Edad,Sexo,Talla,Talla-M,Peso,IMC,Categoria
9,Distrito Federal,17,Venustiano Carranza,1,Venustiano Carranza,Urbano,5,Mujer,111.44,1.1143334,19.1,15.381656,Normal
9,Distrito Federal,17,Venustiano Carranza,1,Venustiano Carranza,Urbano,6,Hombre,111.3,1.113,18.299999,14.772729,Normal
9,Distrito Federal,17,Venustiano Carranza,1,Venustiano Carranza,Urbano,16,Mujer,149.8,1.498,41.560001,18.520466,Normal
9,Distrito Federal,17,Venustiano Carranza,1,Venustiano Carranza,Urbano,6,Mujer,108.8,1.0880001,19.639999,16.591423,Normal
9,Distrito Federal,17,Venustiano Carranza,1,Venustiano Carranza,Urbano,13,Hombre,157.03999,1.5703334,48,19.465139,Normal
9,Distrito Federal,15,Cuauhtémoc,1,Cuauhtémoc,Urbano,5,Mujer,108.2,1.082,19.24,16.434275,Normal
9,Distrito Federal,15,Cuauhtémoc,1,Cuauhtémoc,Urbano,11,Hombre,135.75999,1.3576666,37.099998,20.127398,Sobrepeso
9,Distrito Federal,15,Cuauhtémoc,1,Cuauhtémoc,Urbano,5,Mujer,112.14,1.1213334,18.540001,14.744847,Normal
9,Distrito Federal,16,Miguel Hidalgo,1,Miguel Hidalgo,Urbano,10,Hombre,146.14,1.4613333,34.66,16.230429,Normal
9,Distrito Federal,16,Miguel Hidalgo,1,Miguel Hidalgo,Urbano,16,Hombre,174.46001,1.7446666,67.400002,22.142927,Normal
9,Distrito Federal,16,Miguel Hidalgo,1,Miguel Hidalgo,Urbano,13,Hombre,156.89999,1.5689999,49.84,20.245672,Normal
9,Distrito Federal,16,Miguel Hidalgo,1,Miguel Hidalgo,Urbano,9,Hombre,138.74001,1.3873334,31.459999,16.345455,Normal
9,Distrito Federal,14,Benito Juárez,1,Benito Juárez,Urbano,12,Mujer,152.66,1.5266668,69.860001,29.973682,Obesidad
9,Distrito Federal,14,Benito Juárez,1,Benito Juárez,Urbano,6,Mujer,113.2,1.132,22.16,17.293262,Sobrepeso
9,Distrito Federal,3,Coyoacán,1,Coyoacán,Urbano,13,Mujer,161.16,1.6116667,64.660004,24.893459,Sobrepeso
9,Distrito Federal,3,Coyoacán,1,Coyoacán,Urbano,7,Hombre,130.06,1.3006667,34.040001,20.121368,Obesidad
9,Distrito Federal,3,Coyoacán,1,Coyoacán,Urbano,12,Hombre,156.06,1.5606667,58.84,24.15752,Obesidad
9,Distrito Federal,10,Álvaro Obregón,1,Álvaro Obregón,Urbano,15,Mujer,162.5,1.625,70,26.508875,Sobrepeso
9,Distrito Federal,10,Álvaro Obregón,1,Álvaro Obregón,Urbano,14,Hombre,164.16,1.6416668,49.84,18.493027,Normal
9,Distrito Federal,10,Álvaro Obregón,1,Álvaro Obregón,Urbano,6,Hombre,108,1.08,18.6,15.946502,Normal
9,Distrito Federal,10,Álvaro Obregón,1,Álvaro Obregón,Urbano,18,Mujer,155.46001,1.5546666,65.760002,27.207413,Sobrepeso
9,Distrito Federal,10,Álvaro Obregón,1,Álvaro Obregón,Urbano,16,Mujer,142.3,1.423,55.16,27.240461,Sobrepeso
9,Distrito Federal,10,Álvaro Obregón,1,Álvaro Obregón,Urbano,6,Hombre,121.24,1.2123333,26.860001,18.275192,Sobrepeso
9,Distrito Federal,10,Álvaro Obregón,1,Álvaro Obregón,Urbano,13,Mujer,142.3,1.423,61.240002,30.243036,Obesidad
9,Distrito Federal,10,Álvaro Obregón,1,Álvaro Obregón,Urbano,5,Hombre,106.34,1.0633334,17.24,15.247489,Normal
9,Distrito Federal,10,Álvaro Obregón,1,Álvaro Obregón,Urbano,17,Mujer,175.16,1.7516667,66.300003,21.607803,Normal
9,Distrito Federal,10,Álvaro Obregón,1,Álvaro Obregón,Urbano,12,Mujer,140.46001,1.4046665,55.16,27.956177,Obesidad
9,Distrito Federal,10,Álvaro Obregón,1,Álvaro Obregón,Urbano,7,Hombre,118.24,1.1823334,22.200001,15.880827,Normal
9,Distrito Federal,10,Álvaro Obregón,1,Álvaro Obregón,Urbano,5,Mujer,105.7,1.0569999,18.360001,16.433224,Normal
9,Distrito Federal,10,Álvaro Obregón,1,Álvaro Obregón,Urbano,10,Hombre,136.53999,1.3653334,36.700001,19.687412,Sobrepeso
9,Distrito Federal,10,Álvaro Obregón,1,Álvaro Obregón,Urbano,12,Hombre,144.86,1.4486667,33.400002,15.915106,Normal
9,Distrito Federal,10,Álvaro Obregón,1,Álvaro Obregón,Urbano,7,Hombre,120.56,1.2056667,22.559999,15.519745,Normal
9,Distrito Federal,10,Álvaro Obregón,1,Álvaro Obregón,Urbano,13,Hombre,157.06,1.5706667,44.700001,18.119219,Normal
9,Distrito Federal,10,Álvaro Obregón,1,Álvaro Obregón,Urbano,9,Hombre,136.56,1.3656666,48.439999,25.972559,Obesidad
9,Distrito Federal,10,Álvaro Obregón,1,Álvaro Obregón,Urbano,6,Hombre,115.34,1.1533333,22.66,17.035318,Sobrepeso
9,Distrito Federal,4,Cuajimalpa de Morelos,1,Cuajimalpa de Morelos,Urbano,9,Mujer,142,1.42,35,17.357668,Normal
9,Distrito Federal,4,Cuajimalpa de Morelos,1,Cuajimalpa de Morelos,Urbano,9,Mujer,122.56,1.2256666,25.200001,16.774742,Normal
9,Distrito Federal,4,Cuajimalpa de Morelos,1,Cuajimalpa de Morelos,Urbano,10,Mujer,136.2,1.362,32.259998,17.390423,Normal
