Entidad,Entidad-N,municipio,Municipio,Localidad,Ubicación,Tipo,Edad,Sexo,Talla,Talla-M,Peso,IMC,Categoria
1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,Urbano,7,Hombre,122.4,1.224,23.5,15.68574,Normal
1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,Urbano,19,Hombre,162.66,1.6266667,53.540001,20.233976,Normal
1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,Urbano,19,Mujer,165.06,1.6506667,53.099998,19.488379,Normal
1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,Urbano,9,Mujer,124.36,1.2436666,31,20.042585,Sobrepeso
2,Baja California,1,Ensenada,2183,Benito García (El Zorrillo),Urbano,16,Mujer,162.34,1.6233333,73.400002,27.853556,Sobrepeso
2,Baja California,1,Ensenada,2183,Benito García (El Zorrillo),Urbano,14,Mujer,140.24001,1.4023334,44.139999,22.445526,Normal
2,Baja California,1,Ensenada,2183,Benito García (El Zorrillo),Urbano,10,Hombre,135.66,1.3566667,40.700001,22.113022,Sobrepeso
2,Baja California,1,Ensenada,2183,Benito García (El Zorrillo),Urbano,16,Hombre,170.2,1.702,80.199997,27.685682,Sobrepeso
2,Baja California,1,Ensenada,2183,Benito García (El Zorrillo),Urbano,15,Hombre,170.10001,1.7010001,68.599998,23.70912,Sobrepeso
2,Baja California,1,Ensenada,2183,Benito García (El Zorrillo),Urbano,7,Hombre,123.04,1.2303333,34.099998,22.527281,Obesidad
2,Baja California,1,Ensenada,2183,Benito García (El Zorrillo),Urbano,14,Hombre,170.06,1.7006667,80.099998,27.694536,Obesidad
2,Baja California,1,Ensenada,2183,Benito García (El Zorrillo),Urbano,9,Mujer,136.06,1.3606666,40,21.605112,Sobrepeso
2,Baja California,1,Ensenada,2183,Benito García (El Zorrillo),Urbano,6,Mujer,117.56,1.1756667,30.1,21.777002,Obesidad
2,Baja California,2,Mexicali,1,Mexicali,Urbano,14,Hombre,162.34,1.6233333,80.199997,30.433992,Obesidad
2,Baja California,2,Mexicali,1,Mexicali,Urbano,18,Mujer,157.14,1.5713333,54.700001,22.153927,Normal
2,Baja California,2,Mexicali,1,Mexicali,Urbano,6,Mujer,118.16,1.1816666,27.299999,19.551168,Obesidad
2,Baja California,2,Mexicali,1,Mexicali,Urbano,5,Hombre,120.34,1.2033334,26.200001,18.093784,Sobrepeso
2,Baja California,2,Mexicali,1,Mexicali,Urbano,12,Hombre,158.46001,1.5846666,61.099998,24.331305,Obesidad
